Source,Target,Type,id,weight,from,to
Addam-Marbrand,Brynden-Tully,Undirected,0,3,1,102
Addam-Marbrand,Cersei-Lannister,Undirected,1,3,1,116
Addam-Marbrand,Gyles-Rosby,Undirected,2,3,1,273
Addam-Marbrand,Jaime-Lannister,Undirected,3,14,1,337
Addam-Marbrand,Jalabhar-Xho,Undirected,4,3,1,338
Addam-Marbrand,Joffrey-Baratheon,Undirected,5,3,1,355
Addam-Marbrand,Kevan-Lannister,Undirected,6,3,1,382
Addam-Marbrand,Lyle-Crakehall,Undirected,7,4,1,423
Addam-Marbrand,Oberyn-Martell,Undirected,8,3,1,511
Addam-Marbrand,Tyrion-Lannister,Undirected,9,7,1,727
Addam-Marbrand,Tywin-Lannister,Undirected,10,6,1,730
Addam-Marbrand,Varys,Undirected,11,4,1,743
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Undirected,12,4,2,111
Aegon-Frey-(son-of-Stevron),Robb-Stark,Undirected,13,5,2,601
Aegon-Frey-(son-of-Stevron),Stevron-Frey,Undirected,14,3,2,672
Aegon-Frey-(son-of-Stevron),Walder-Frey,Undirected,15,6,2,752
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,16,13,3,149
Aegon-I-Targaryen,Eddard-Stark,Undirected,17,4,3,190
Aegon-I-Targaryen,Harren-Hoare,Undirected,18,4,3,291
Aegon-I-Targaryen,Nan,Undirected,19,3,3,502
Aegon-I-Targaryen,Rhaenys-Targaryen,Undirected,20,4,3,593
Aegon-I-Targaryen,Stannis-Baratheon,Undirected,21,4,3,668
Aegon-I-Targaryen,Torrhen-Stark,Undirected,22,3,3,718
Aegon-I-Targaryen,Tyrion-Lannister,Undirected,23,3,3,727
Aegon-I-Targaryen,Visenya-Targaryen,Undirected,24,3,3,746
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,Undirected,25,11,4,149
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,26,7,4,198
Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,Undirected,27,3,4,219
Aegon-Targaryen-(son-of-Rhaegar),Haldon,Undirected,28,14,4,281
Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,Undirected,29,9,4,293
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,Undirected,30,16,4,359
Aegon-Targaryen-(son-of-Rhaegar),Lemore,Undirected,31,10,4,401
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,Undirected,32,12,4,589
Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),Undirected,33,4,4,594
Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,Undirected,34,11,4,614
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,Undirected,35,23,4,727
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,Undirected,36,3,4,730
Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,Undirected,37,3,4,747
Aegon-Targaryen-(son-of-Rhaegar),Yandry,Undirected,38,6,4,786
Aegon-Targaryen-(son-of-Rhaegar),Ysilla,Undirected,39,4,4,793
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,40,6,5,7
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,Undirected,41,3,6,337
Aemon-Targaryen-(Maester-Aemon),Alleras,Undirected,42,4,7,22
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,43,7,7,23
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,44,4,7,89
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,45,9,7,120
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,46,33,7,131
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,Undirected,47,3,7,140
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,Undirected,48,3,7,151
Aemon-Targaryen-(Maester-Aemon),Dareon,Undirected,49,5,7,158
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,Undirected,50,4,7,164
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,Undirected,51,11,7,175
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Undirected,52,3,7,191
Aemon-Targaryen-(Maester-Aemon),Gilly,Undirected,53,20,7,247
Aemon-Targaryen-(Maester-Aemon),Grenn,Undirected,54,5,7,260
Aemon-Targaryen-(Maester-Aemon),Hobb,Undirected,55,3,7,305
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,56,5,7,339
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,57,25,7,346
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,58,110,7,361
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,Undirected,59,3,7,434
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,60,5,7,440
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,61,3,7,527
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,62,5,7,556
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,63,5,7,603
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,64,99,7,632
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,65,12,7,668
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,66,3,7,783
Aenys-Frey,Arya-Stark,Undirected,67,6,8,49
Aenys-Frey,Hosteen-Frey,Undirected,68,6,8,312
Aenys-Frey,Theon-Greyjoy,Undirected,69,3,8,697
Aenys-Frey,Wyman-Manderly,Undirected,70,4,8,782
Aeron-Greyjoy,Asha-Greyjoy,Undirected,71,7,9,51
Aeron-Greyjoy,Baelor-Blacktyde,Undirected,72,4,9,57
Aeron-Greyjoy,Balon-Greyjoy,Undirected,73,17,9,61
Aeron-Greyjoy,Dagmer,Undirected,74,5,9,152
Aeron-Greyjoy,Dunstan-Drumm,Undirected,75,4,9,187
Aeron-Greyjoy,Emmond,Undirected,76,4,9,206
Aeron-Greyjoy,Euron-Greyjoy,Undirected,77,27,9,211
Aeron-Greyjoy,Gormond-Goodbrother,Undirected,78,6,9,253
Aeron-Greyjoy,Gorold-Goodbrother,Undirected,79,10,9,255
Aeron-Greyjoy,Greydon-Goodbrother,Undirected,80,4,9,263
Aeron-Greyjoy,Meldred-Merlyn,Undirected,81,7,9,464
Aeron-Greyjoy,Murenmure,Undirected,82,11,9,494
Aeron-Greyjoy,Rus,Undirected,83,5,9,627
Aeron-Greyjoy,Theon-Greyjoy,Undirected,84,20,9,697
